Vertices,Density,MKL,MKL_BW,MULTIROW,MULTIROW_BW,ELLPACK,ELLPACK_BW,TRANSPOSED_ELLPACK,TRANSPOSED_ELLPACK_BW
32768,0.1,0.117652,0.0398303,0.128965,0.0363365,0.136035,0.0578111,0.133735,0.0588052
32768,0.2,0.204659,0.0438503,0.228597,0.0392584,0.317137,0.0438095,0.327923,0.0423686
32768,0.3,0.289699,0.0457674,0.325644,0.0407155,0.551974,0.036094,0.554582,0.0359243
32768,0.4,0.459461,0.038173,0.528446,0.0331898,0.709509,0.033622,0.715908,0.0333215
32768,0.5,0.604563,0.0360828,0.70498,0.0309432,0.903171,0.0317822,0.899101,0.0319261
32768,0.6,0.764888,0.0341031,0.875892,0.0297811,1.07978,0.0310754,1.09244,0.0307152
32768,0.7,0.907971,0.0334297,1.04576,0.029025,1.27165,0.0304062,1.25083,0.0309125
32768,0.8,1.08979,0.0317632,1.24818,0.0277326,1.46594,0.0300422,1.48181,0.0297206
32768,0.9,1.24633,0.0311907,1.4209,0.0273588,1.61263,0.0295853,1.61381,0.0295637
32768,1,1.40693,0.0306546,1.58522,0.0272068,1.84168,0.0286103,1.83135,0.0287716
32768,1.1,1.55525,0.0304644,1.74296,0.0271834,2.02958,0.0279635,2.02129,0.0280783
32768,1.2,1.72217,0.0299762,1.92696,0.0267904,2.26922,0.0280718,2.26645,0.0281061
32768,1.3,1.88274,0.0296727,2.10034,0.0265985,2.39851,0.0276515,2.37932,0.0278745
32768,1.4,2.05937,0.0291862,2.27757,0.0263899,2.60484,0.0272224,2.59728,0.0273016
32768,1.5,2.21002,0.0291126,2.43142,0.0264617,2.8315,0.0273115,2.83576,0.0272704
32768,1.6,2.39735,0.0286003,2.64348,0.0259374,2.95045,0.0272322,2.98762,0.0268933
32768,1.7,2.53825,0.0286786,2.79787,0.0260175,3.14716,0.0271127,3.13546,0.0272138
32768,1.8,2.68925,0.0286367,2.97485,0.0258874,3.37985,0.0266421,3.34465,0.0269225
32768,1.9,2.84563,0.0285438,3.1675,0.0256433,3.51192,0.0270212,3.5457,0.0267638
32768,2,2.99439,0.0285334,3.31634,0.0257635,3.80578,0.0264846,3.77302,0.0267145
32768,2.1,3.15345,0.0284287,3.44556,0.0260186,3.95534,0.0267423,3.97534,0.0266078
32768,2.2,3.35912,0.0279381,3.63177,0.0258408,4.11648,0.026587,4.15289,0.0263539
32768,2.3,3.4998,0.0280161,3.77239,0.0259917,4.3303,0.0263942,4.29992,0.0265807
32768,2.4,3.65582,0.0279682,3.93952,0.0259542,4.47536,0.0264466,4.45364,0.0265755
32768,2.5,3.81651,0.0278873,4.10287,0.0259409,4.62515,0.0264402,4.59505,0.0266134
32768,2.6,3.97587,0.0278241,4.27163,0.0258976,4.74507,0.0264626,4.80402,0.0261379
